t, q0, q1, q0ref, q1ref
0.023750 -0.998741, 0.000162, -1.000000, 0.000000
0.024000 -0.998718, 0.000167, -1.000000, 0.000000
0.024250 -0.998696, 0.000172, -1.000000, 0.000000
0.024500 -0.998673, 0.000177, -1.000000, 0.000000
0.024750 -0.998650, 0.000182, -1.000000, 0.000000
0.025000 -0.998627, 0.000187, -1.000000, 0.000000
0.025250 -0.998604, 0.000192, -1.000000, 0.000000
0.025500 -0.998581, 0.000197, -1.000000, 0.000000
0.025750 -0.998557, 0.000203, -1.000000, 0.000000
0.026000 -0.998534, 0.000208, -1.000000, 0.000000
0.026250 -0.998510, 0.000213, -1.000000, 0.000000
0.026500 -0.998487, 0.000218, -1.000000, 0.000000
0.026750 -0.998463, 0.000224, -1.000000, 0.000000
0.027000 -0.998439, 0.000229, -1.000000, 0.000000
0.027250 -0.998415, 0.000235, -1.000000, 0.000000
0.027500 -0.998391, 0.000240, -1.000000, 0.000000
0.027750 -0.998367, 0.000246, -1.000000, 0.000000
0.028000 -0.998342, 0.000251, -1.000000, 0.000000
0.028250 -0.998318, 0.000257, -1.000000, 0.000000
0.028500 -0.998293, 0.000263, -1.000000, 0.000000
0.028750 -0.998269, 0.000268, -1.000000, 0.000000
0.029000 -0.998244, 0.000274, -1.000000, 0.000000
0.029250 -0.998219, 0.000280, -1.000000, 0.000000
0.029500 -0.998194, 0.000286, -1.000000, 0.000000
0.029750 -0.998169, 0.000291, -1.000000, 0.000000
0.030000 -0.998144, 0.000297, -1.000000, 0.000000
0.030250 -0.998118, 0.000303, -1.000000, 0.000000
0.030500 -0.998093, 0.000309, -1.000000, 0.000000
0.030750 -0.998068, 0.000315, -1.000000, 0.000000
0.031000 -0.998042, 0.000321, -1.000000, 0.000000
0.031250 -0.998016, 0.000327, -1.000000, 0.000000
0.031500 -0.997991, 0.000333, -1.000000, 0.000000
0.031750 -0.997965, 0.000339, -1.000000, 0.000000
0.032000 -0.997939, 0.000346, -1.000000, 0.000000
0.032250 -0.997913, 0.000352, -1.000000, 0.000000
0.032500 -0.997887, 0.000358, -1.000000, 0.000000
0.032750 -0.997861, 0.000364, -1.000000, 0.000000
0.033000 -0.997835, 0.000371, -1.000000, 0.000000
0.033250 -0.997808, 0.000377, -1.000000, 0.000000
0.033500 -0.997782, 0.000383, -1.000000, 0.000000
0.033750 -0.997755, 0.000390, -1.000000, 0.000000
0.034000 -0.997729, 0.000396, -1.000000, 0.000000
0.034250 -0.997702, 0.000402, -1.000000, 0.000000
